"YEAR","DETECTION_METHOD","Count*(OffenceNo)"
2008,"Fixed or mobile camera",7
2009,"Fixed or mobile camera",7
2010,"Fixed or mobile camera",8
2011,"Fixed or mobile camera",8
2012,"Fixed or mobile camera",8
2013,"Fixed or mobile camera",8
2014,"Fixed or mobile camera",8
2015,"Fixed or mobile camera",8
2016,"Fixed or mobile camera",8
2017,"Fixed or mobile camera",8
2017,"Police issued",2
2018,"Fixed or mobile camera",8
2018,"Police issued",4
2019,"Fixed or mobile camera",8
2019,"Police issued",4
2020,"Fixed or mobile camera",8
2020,"Police issued",5
2021,"Fixed or mobile camera",8
2021,"Police issued",5
2022,"Fixed or mobile camera",7
2022,"Police issued",7
2023,"Average speed camera",56
2023,"Fixed camera",449
2023,"Fixed or mobile camera",64
2023,"Mobile camera",531
2023,"Other",72
2023,"Police issued",903
2023,"Red light camera",144
2023,"Unknown",55
