"YEAR","JURISDICTION","LOCATION","Count*(OffenceNo)"
2008,"NSW","All regions",1
2008,"NT","All regions",1
2008,"QLD","All regions",1
2008,"SA","All regions",1
2008,"TAS","All regions",1
2008,"VIC","All regions",1
2008,"WA","All regions",1
2009,"NSW","All regions",1
2009,"NT","All regions",1
2009,"QLD","All regions",1
2009,"SA","All regions",1
2009,"TAS","All regions",1
2009,"VIC","All regions",1
2009,"WA","All regions",1
2010,"ACT","All regions",1
2010,"NSW","All regions",1
2010,"NT","All regions",1
2010,"QLD","All regions",1
2010,"SA","All regions",1
2010,"TAS","All regions",1
2010,"VIC","All regions",1
2010,"WA","All regions",1
2011,"ACT","All regions",1
2011,"NSW","All regions",1
2011,"NT","All regions",1
2011,"QLD","All regions",1
2011,"SA","All regions",1
2011,"TAS","All regions",1
2011,"VIC","All regions",1
2011,"WA","All regions",1
2012,"ACT","All regions",1
2012,"NSW","All regions",1
2012,"NT","All regions",1
2012,"QLD","All regions",1
2012,"SA","All regions",1
2012,"TAS","All regions",1
2012,"VIC","All regions",1
2012,"WA","All regions",1
2013,"ACT","All regions",1
2013,"NSW","All regions",1
2013,"NT","All regions",1
2013,"QLD","All regions",1
2013,"SA","All regions",1
2013,"TAS","All regions",1
2013,"VIC","All regions",1
2013,"WA","All regions",1
2014,"ACT","All regions",1
2014,"NSW","All regions",1
2014,"NT","All regions",1
2014,"QLD","All regions",1
2014,"SA","All regions",1
2014,"TAS","All regions",1
2014,"VIC","All regions",1
2014,"WA","All regions",1
2015,"ACT","All regions",1
2015,"NSW","All regions",1
2015,"NT","All regions",1
2015,"QLD","All regions",1
2015,"SA","All regions",1
2015,"TAS","All regions",1
2015,"VIC","All regions",1
2015,"WA","All regions",1
2016,"ACT","All regions",1
2016,"NSW","All regions",1
2016,"NT","All regions",1
2016,"QLD","All regions",1
2016,"SA","All regions",1
2016,"TAS","All regions",1
2016,"VIC","All regions",1
2016,"WA","All regions",1
2017,"ACT","All regions",1
2017,"NSW","All regions",2
2017,"NT","All regions",1
2017,"QLD","All regions",1
2017,"SA","All regions",1
2017,"TAS","All regions",1
2017,"VIC","All regions",1
2017,"WA","All regions",2
2018,"ACT","All regions",1
2018,"NSW","All regions",2
2018,"NT","All regions",2
2018,"QLD","All regions",2
2018,"SA","All regions",1
2018,"TAS","All regions",1
2018,"VIC","All regions",1
2018,"WA","All regions",2
2019,"ACT","All regions",1
2019,"NSW","All regions",2
2019,"NT","All regions",2
2019,"QLD","All regions",2
2019,"SA","All regions",1
2019,"TAS","All regions",1
2019,"VIC","All regions",1
2019,"WA","All regions",2
2020,"ACT","All regions",1
2020,"NSW","All regions",2
2020,"NT","All regions",2
2020,"QLD","All regions",2
2020,"SA","All regions",1
2020,"TAS","All regions",2
2020,"VIC","All regions",1
2020,"WA","All regions",2
2021,"ACT","All regions",1
2021,"NSW","All regions",2
2021,"NT","All regions",2
2021,"QLD","All regions",2
2021,"SA","All regions",1
2021,"TAS","All regions",2
2021,"VIC","All regions",1
2021,"WA","All regions",2
2022,"NSW","All regions",2
2022,"NT","All regions",2
2022,"QLD","All regions",2
2022,"SA","All regions",2
2022,"TAS","All regions",2
2022,"VIC","All regions",2
2022,"WA","All regions",2
2023,"ACT","Major Cities of Australia",173
2023,"NSW","Inner Regional Australia",60
2023,"NSW","Major Cities of Australia",60
2023,"NSW","Outer Regional Australia",59
2023,"NSW","Remote Australia",48
2023,"NSW","Unknown",82
2023,"NSW","Very Remote Australia",45
2023,"NT","Unknown",197
2023,"QLD","Unknown",4
2023,"SA","Unknown",288
2023,"TAS","Unknown",128
2023,"VIC","Inner Regional Australia",182
2023,"VIC","Major Cities of Australia",183
2023,"VIC","Outer Regional Australia",174
2023,"VIC","Remote Australia",59
2023,"VIC","Unknown",170
2023,"WA","Unknown",362
