"YEAR","JURISDICTION","Sum(FINES)"
2008,"NSW",590408
2008,"NT",23865
2008,"QLD",502886
2008,"SA",119500
2008,"TAS",59962
2008,"VIC",1114036
2008,"WA",228822
2009,"NSW",513616
2009,"NT",19893
2009,"QLD",475870
2009,"SA",107676
2009,"TAS",67768
2009,"VIC",1136590
2009,"WA",254858
2010,"ACT",58705
2010,"NSW",390746
2010,"NT",26775
2010,"QLD",440622
2010,"SA",91335
2010,"TAS",37376
2010,"VIC",1172460
2010,"WA",300344
2011,"ACT",56719
2011,"NSW",389649
2011,"NT",24633
2011,"QLD",588714
2011,"SA",61859
2011,"TAS",24427
2011,"VIC",1151555
2011,"WA",558552
2012,"ACT",54201
2012,"NSW",432586
2012,"NT",27730
2012,"QLD",653679
2012,"SA",54773
2012,"TAS",7410
2012,"VIC",1185037
2012,"WA",588746
2013,"ACT",51948
2013,"NSW",426904
2013,"NT",24536
2013,"QLD",762905
2013,"SA",74391
2013,"TAS",7517
2013,"VIC",1015986
2013,"WA",543491
2014,"ACT",45120
2014,"NSW",468465
2014,"NT",22871
2014,"QLD",1004090
2014,"SA",100562
2014,"TAS",9250
2014,"VIC",1307924
2014,"WA",711518
2015,"ACT",50640
2015,"NSW",486571
2015,"NT",24928
2015,"QLD",1076622
2015,"SA",85282
2015,"TAS",15220
2015,"VIC",1306201
2015,"WA",752276
2016,"ACT",55750
2016,"NSW",494676
2016,"NT",22239
2016,"QLD",659305
2016,"SA",182856
2016,"TAS",15977
2016,"VIC",1266642
2016,"WA",567954
2017,"ACT",52913
2017,"NSW",731953
2017,"NT",22556
2017,"QLD",733717
2017,"SA",162804
2017,"TAS",13095
2017,"VIC",1220180
2017,"WA",754183
2018,"ACT",66449
2018,"NSW",681389
2018,"NT",37452
2018,"QLD",1021423
2018,"SA",174731
2018,"TAS",8609
2018,"VIC",1600565
2018,"WA",689198
2019,"ACT",59330
2019,"NSW",658793
2019,"NT",39500
2019,"QLD",1041780
2019,"SA",202914
2019,"TAS",6738
2019,"VIC",1004679
2019,"WA",682996
2020,"ACT",57612
2020,"NSW",915316
2020,"NT",40921
2020,"QLD",910858
2020,"SA",175237
2020,"TAS",40751
2020,"VIC",937192
2020,"WA",695586
2021,"ACT",113807
2021,"NSW",1452620
2021,"NT",38648
2021,"QLD",978926
2021,"SA",202693
2021,"TAS",39228
2021,"VIC",1231672
2021,"WA",809544
2022,"NSW",1217596
2022,"NT",33642
2022,"QLD",849399
2022,"SA",186196
2022,"TAS",42737
2022,"VIC",1378231
2022,"WA",843541
2023,"ACT",70776
2023,"NSW",881483
2023,"NT",43306
2023,"QLD",860626
2023,"SA",203602
2023,"TAS",65040
2023,"VIC",1302628
2023,"WA",807487
